name,region,type,en_name,kr_name,x,y,z
Node_Her_HillguardOutpost,Hernand,outpost,Hillguard Outpost,,-10054.00,710.00,-2242.00
Node_Her_OakwatchOutpost,Hernand,outpost,Oakwatch Outpost,오크워치 전초기지,-9910.00,691.00,-2228.00
Node_Her_FortHellwood,Hernand,fort,Fort Hellwood,헬우드 요새,308.00,310.00,136.00
Node_Her_HellwoodInnerGate,Hernand,gate,Hellwood Inner Gate,헬우드 내문,-11042.00,706.00,-5494.00
Node_Her_HellwoodOuterGate,Hernand,gate,Hellwood Outer Gate,헬우드 외문,-10982.00,689.00,-5431.00
Node_Her_FortHellwood_Cliff_WatchTower,Hernand,fort,Fort Hellwood Cliff Watchtower,헬우드 요새 절벽 망루,-11149.00,778.00,-5660.00
Node_Her_RiverwardOutpost,Hernand,outpost,Riverward Outpost,리버워드 전초기지,1136.00,1152.00,1200.00
Node_Her_Riverward_SpearsendStation,Hernand,station,Riverward Spearsend Station,,-10695.00,670.00,-2418.00
Node_Her_Riverward_ArroweyeStation,Hernand,station,Riverward Arroweye Station,,-10815.00,672.00,-2271.00
Node_Her_Riverward_IronhoofStation,Hernand,station,Riverward Ironhoof Station,,-10954.00,677.00,-2034.00
Node_Her_Riverward_IronhammerStation,Hernand,station,Riverward Ironhammer Station,,-11017.00,679.00,-1961.00
Node_Her_DragonKillCastle,Hernand,castle,Dragon Kill Castle,,-9771.00,684.00,-1508.00
Node_Her_DrakefallWatchtowerArea,Hernand,tower,Drakefall Watchtower Area,,-9899.00,696.00,-1766.00
Node_Her_OakenshieldManor_Serkis,Hernand,manor,Oakenshield Manor Serkis,,-10740.00,626.00,-3882.00
Node_Her_CapraPasture,Hernand,poi,Capra Pasture,카프라 목초지,-10818.00,610.00,-4012.00
Node_Her_SpringtideWatermill,Hernand,poi,Springtide Watermill,,-10442.00,539.00,-4213.00
Node_Her_HuntersHut,Hernand,hut,Hunters Hut,,-11394.00,797.00,-2959.00
Node_Her_IvyVillage,Hernand,village,Ivy Village,,-11304.00,831.00,-3388.00
Node_Her_PeacefulFishingDock,Hernand,harbor,Peaceful Fishing Dock,,-11527.00,792.00,-3136.00
Node_Her_FortAnvil,Hernand,fort,Fort Anvil,모루요새,-9945.00,615.00,-4027.00
Node_Her_HellwoodSlaveCamp,Hernand,camp,Hellwood Slave Camp,,-9868.00,624.00,-3075.00
Node_Her_GreymaneCamp,Hernand,camp,Greymane Camp,,-10498.00,609.00,-4413.00
Node_Her_WillkommPost,Hernand,poi,Willkomm Post,,-10308.00,683.00,-2342.00
Node_Her_FraueCamp,Hernand,camp,Fraue Camp,,-10142.00,665.00,-2840.00
Node_Her_BoomveldBombFactory,Hernand,workshop,Boomveld Bomb Factory,,-10327.00,669.00,-2594.00
Node_Her_BluemontManor_Rupert,Hernand,manor,Bluemont Manor Rupert,,-10691.00,619.00,-3889.00
Node_Her_BluemontWineHouse,Hernand,house,Bluemont Wine House,,-10689.00,558.00,-4200.00
Node_Her_MuckrootRanch,Hernand,ranch,Muckroot Ranch,머크루트 목장,-10548.00,568.00,-4034.00
Node_Her_KarinQuarry,Hernand,poi,Karin Quarry,카린 채석장,-10289.00,637.00,-3180.00
Node_Her_StreamsidePier,Hernand,harbor,Streamside Pier,,-10084.00,517.00,-4397.00
Node_Her_BloomwoodRanch,Hernand,ranch,Bloomwood Ranch,블룸우드 목장,-10160.00,551.00,-4249.00
Node_Her_PervinFort,Hernand,fort,Pervin Fort,,280.00,282.00,416.00
Node_Her_PervinGate,Hernand,gate,Pervin Gate,,-11531.00,645.00,-5039.00
Node_Her_PervinQuarry,Hernand,poi,Pervin Quarry,,-11421.00,623.00,-4887.00
Node_Her_MeshleyTrapMaker,Hernand,poi,Meshley Trap Maker,,-11295.00,621.00,-4819.00
Node_Her_PervinTradePost,Hernand,trade,Pervin Trade Post,,-11222.00,611.00,-4688.00
Node_Her_PervinPrisonCamp,Hernand,camp,Pervin Prison Camp,,-11297.00,606.00,-5084.00
Node_Her_Pervin_WatchTower,Hernand,tower,Pervin Watch Tower,,-11417.00,620.00,-5013.00
Node_Her_LioncrestManor_Alfonso,Hernand,manor,Lioncrest Manor Alfonso,,-10821.00,650.00,-3748.00
Node_Her_TimberhamLumbermill,Hernand,poi,Timberham Lumbermill,,-10968.00,663.00,-3935.00
Node_Her_TimberhamSawmill,Hernand,sawmill,Timberham Sawmill,팀버햄 제재소,-10926.00,624.00,-3999.00
Node_Her_EquinsherSaddlery,Hernand,poi,Equinsher Saddlery,에퀸셔 마구 상점,-10304.00,546.00,-4190.00
Node_Her_TimberWagonFactory,Hernand,workshop,Timber Wagon Factory,,-9971.00,527.00,-4363.00
Node_Her_FortWarspike,Hernand,fort,Fort Warspike,워스파이크 요새,256.00,258.00,260.00
Node_Her_PhonielRanch,Hernand,ranch,Phoniel Ranch,포니엘 목장,-11365.00,635.00,-4508.00
Node_Her_WarspikeSpearmaker,Hernand,poi,Warspike Spearmaker,워스파이크 창 제작소,-11410.00,667.00,-4228.00
Node_Her_WarspikeEastGate,Hernand,gate,Warspike East Gate,워스파이크 동문,-11520.00,704.00,-3973.00
Node_Her_WarspikeSouthGate,Hernand,gate,Warspike South Gate,워스파이크 남문,-11595.00,674.00,-4184.00
Node_Her_WarspikeNorthGate,Hernand,gate,Warspike North Gate,워스파이크 북문,-11668.00,712.00,-4059.00
Node_Her_GreystoneManor_Felix,Hernand,manor,Greystone Manor Felix,,-10534.00,607.00,-3870.00
Node_Her_WycliffeMappery,Hernand,landmark,Wycliffe Mappery,위클리프 지도 제작소,-10538.00,598.00,-3450.00
Node_Her_RodbelFishingDock,Hernand,harbor,Rodbel Fishing Dock,로드벨 낚시터,-10231.00,540.00,-3987.00
Node_Her_InksworthPrinter,Hernand,poi,Inksworth Printer,,-11160.00,572.00,-4573.00
Node_Her_CoalvaleWorkshop,Hernand,workshop,Coalvale Workshop,콜베일 숯 공방,-9839.00,563.00,-4623.00
Node_Her_SouthQuarry,Hernand,poi,South Quarry,,-9570.00,590.00,-4648.00
Node_Her_GoldleafGuildhouse,Hernand,guild,Goldleaf Guildhouse,금풍상회 본부,-10009.00,617.00,-4709.00
Node_Her_GoldleafTradepost,Hernand,trade,Goldleaf Tradepost,,-10328.84,551.26,-4238.32
Node_Her_GoldenFistsArena,Hernand,arena,Golden Fists Arena,,-10766.00,557.00,-4255.00
Node_Her_GoldleafGuildhouse_Trader_Base,Hernand,trade,Goldleaf Guildhouse Trader Base,,-10020.00,619.00,-4685.00
Node_Dem_GoldenTradePost,Demeniss,trade,Golden Trade Post,,-8803.00,543.00,-2774.00
Node_Dem_GoldleafGuildhouse_Trader_Demeniss,Demeniss,trade,Goldleaf Guildhouse Trader Demeniss,,-8803.00,543.00,-2865.00
Node_Her_North_GoldleafBlackMarket,Hernand,market,North Goldleaf Black Market,,-10415.00,639.00,-3320.00
Node_Her_East_GoldleafBlackMarket,Hernand,market,East Goldleaf Black Market,,-9762.00,554.00,-3264.00
Node_Her_Cal_GoldleafBlackMarket,Hernand,market,Cal Goldleaf Black Market,,-11461.00,800.00,-3510.00
Node_Dem_GoldleafBlackMarket,Demeniss,market,Goldleaf Black Market,,-9027.00,507.00,-4819.00
Node_Her_ScholastoneInstitute,Hernand,laboratory,Scholastone Institute,스콜라스톤 학술원,212.00,213.00,210.00
Node_Her_KilndenKukuWorkshop,Hernand,workshop,Kilnden Kuku Workshop,,-11148.00,727.00,-3875.00
Node_Her_KukuSupplyTent,Hernand,storage,Kuku Supply Tent,,-11312.00,703.00,-4016.00
Node_Her_ScholastoneArchive,Hernand,poi,Scholastone Archive,스콜라스톤 기록 보관소,-12065.00,856.00,-5021.00
Node_Her_VelluaVillage,Hernand,village,Vellua Village,,219.00,220.00,221.00
Node_Her_VelluaFirstManGrave,Hernand,tomb,Vellua First Man Grave,,-10078.00,557.00,-5845.00
Node_Her_RichFishingSite,Hernand,poi,Rich Fishing Site,,-10050.00,352.00,-5977.00
Node_Her_ForentinHut,Hernand,hut,Forentin Hut,,-10479.00,552.00,-5652.00
Node_Her_TheFlyingCatfish,Hernand,poi,The Flying Catfish,,-10216.00,363.00,-6272.00
Node_Her_PororinVillage,Hernand,village,Pororin Village,,223.00,224.00,225.00
Node_Her_ReachwoodRuins,Hernand,ruins,Reachwood Ruins,리치우드 유적,-10176.00,576.00,-5228.00
Node_Her_FlorindaleVillage,Hernand,village,Florindale Village,,-10139.00,569.00,-5072.00
Node_Her_PetaltonWorkshop,Hernand,workshop,Petalton Workshop,페타르톤 공방,-10062.00,561.00,-5266.00
Node_Her_ShakeForest,Hernand,forest,Shake Forest,,-9022.00,467.00,-4999.00
Node_Her_KharonsoVillage,Hernand,village,Kharonso Village,,-12168.00,789.00,-5472.00
Node_Her_NectarwoodBeeFarm,Hernand,farm,Nectarwood Bee Farm,,-12302.00,789.00,-5529.00
Node_Her_KharonsoLake,Hernand,water,Kharonso Lake,,-12366.00,738.00,-5032.00
Node_Her_GlenbrightManor_Grace,Hernand,manor,Glenbright Manor Grace,,237.00,246.00,247.00
Node_Her_FlowerDustBeeFarm,Hernand,farm,Flower Dust Bee Farm,,-10905.00,602.00,-5135.00
Node_Her_WindHillFactory,Hernand,workshop,Wind Hill Factory,,-10558.00,612.00,-5164.00
Node_Her_GlenbrightFarm,Hernand,farm,Glenbright Farm,글렌브라이트 농장,-10629.00,644.00,-5071.00
Node_Her_TotesmithLeatherMaker,Hernand,poi,Totesmith Leather Maker,,-10739.00,629.00,-5255.00
Node_Her_CemeteryofReeds,Hernand,tomb,Cemeteryof Reeds,,-10745.00,628.00,-5449.00
Node_Her_HalsiusHospital,Hernand,poi,Halsius Hospital,,250.00,251.00,252.00
Node_Her_HalsiusTradePost,Hernand,trade,Halsius Trade Post,,-9563.00,574.00,-4212.00
Node_Her_HalsiusDrugstore,Hernand,shop,Halsius Drugstore,,-9826.00,573.00,-4155.00
Node_Her_HalsiusRanch,Hernand,ranch,Halsius Ranch,,-9195.00,501.00,-4136.00
Node_Her_Slum,Hernand,poi,Slum,,-10944.00,598.00,-4117.00
Node_Her_BeggarsEnd,Hernand,poi,Beggar's End,넝마숙소,-10793.00,618.00,-3885.00
Node_Her_TheScrapfold,Hernand,poi,The Scrapfold,판자숙소,-10764.00,609.00,-3980.00
Node_Cal_CalphadeCastle,Calphade,castle,Calphade Castle,칼페이드 성,358.00,112.50,360.00
Node_Cal_CalphadeSouthGate,Calphade,gate,Calphade South Gate,칼페이드 남문,-11568.00,772.00,-2937.00
Node_Cal_CalphadeSouthEastGate,Calphade,gate,Calphade South East Gate,,-11459.00,671.00,-2600.00
Node_Cal_CalphadeNorthGate,Calphade,gate,Calphade North Gate,칼페이드 북문,-11849.00,693.00,-1371.00
Node_Cal_CalphadeOutpost,Calphade,outpost,Calphade Outpost,칼페이드 전초기지,-11270.00,670.00,-2633.00
Node_Cal_CalphadeBeacon,Calphade,beacon,Calphade Beacon,칼페이드 봉화대,-11342.00,764.00,-2280.00
Node_Cal_CalphadeSouthDepot,Calphade,storage,Calphade South Depot,,-11647.00,699.00,-2318.00
Node_Cal_CalphadeNorthDepot,Calphade,monster_lair,Calphade North Depot,,-11467.00,682.00,-1721.00
Node_Cal_CalphadeRefinery,Calphade,workshop,Calphade Refinery,,-11607.00,672.00,-2470.00
Node_Cal_CalphadeGunpowderFactory,Calphade,workshop,Calphade Gunpowder Factory,,-11503.00,682.00,-2242.00
Node_Cal_CalphadeLoggingCamp,Calphade,camp,Calphade Logging Camp,칼페이드 벌목장,-11546.00,702.00,-1888.00
Node_Cal_ThalwyndVillage,Calphade,village,Thalwynd Village,,-11862.00,685.00,-2158.00
Node_Cal_CalphadeTrainingField,Calphade,military,Calphade Training Field,칼페이드 훈련장,-12033.00,751.00,-1518.00
Node_Cal_CalphadeFarm,Calphade,farm,Calphade Farm,,-11916.00,723.00,-1704.00
Node_Cal_SouthWatch_Post,Calphade,watch_post,South Watch Post,,-11667.00,745.00,-2674.00
Node_Cal_CalphadeArtilery_I,Calphade,military,Calphade Artilery I,,-11663.00,745.00,-2656.00
Node_Cal_SouthBorder_Post,Calphade,watch_post,South Border Post,,-11798.00,690.00,-2428.00
Node_Cal_CalphadeArtilery_II,Calphade,military,Calphade Artilery II,,-11860.00,727.00,-2451.00
Node_Cal_CenterBorder_Post,Calphade,watch_post,Center Border Post,,-12026.00,716.00,-2092.00
Node_Cal_CalphadeArtilery_III,Calphade,military,Calphade Artilery III,,-11987.00,715.00,-2097.00
Node_Cal_NorthBorder_Post,Calphade,watch_post,North Border Post,,-12141.00,756.00,-1634.00
Node_Cal_CalphadeArtilery_IV,Calphade,military,Calphade Artilery IV,,-12107.00,757.00,-1647.00
Node_Cal_WolfFang_Mine,Calphade,mine,Wolf Fang Mine,,-10962.00,705.00,-2191.00
Node_Cal_WolfFang_Watch,Calphade,watch_post,Wolf Fang Watch,,-11107.00,813.00,-2238.00
Node_Her_WolfFang_Edge_WatchTower,Hernand,tower,Wolf Fang Edge Watch Tower,,-11167.00,738.00,-1951.00
Node_Dem_ForestAltar,Demeniss,shrine,Forest Altar,숲의 제단,-8612.00,489.00,-4940.00
Node_Her_WitchHouse,Hernand,house,Witch House,,-11475.00,646.00,-4592.00
Node_Pailune_Witch,Unknown,poi,Witch,마녀,-9984.00,667.00,-339.00
Node_Kwe_RedLake,Kweiden,water,Red Lake,,-10896.00,904.00,418.00
Node_Wayward_Woods_Witch,Unknown,poi,Woods Witch,,-11339.00,781.00,-705.00
Node_Her_Region_Cave_0079,Hernand,cave,Region Cave 0079,,-10753.00,626.00,-3443.00
Node_Her_HernandChurch,Hernand,shrine,Hernand Church,에르난드 성당,-10506.00,602.00,-3887.00
Node_Her_VelluaChurch,Hernand,shrine,Vellua Church,,-10451.00,367.00,-5995.00
Node_Cal_CalphadeChurch,Calphade,shrine,Calphade Church,칼페이드 성당,-11879.00,697.00,-2025.00
Node_Her_RuinedChapel,Hernand,poi,Ruined Chapel,무너진 예배당,-9880.00,585.00,-5835.00
Node_Her_CastlewoodRuins,Hernand,castle,Castlewood Ruins,캐슬우드 유적,-10042.00,600.00,-5423.00
Node_Her_DeepForest,Hernand,forest,Deep Forest,,-9755.00,615.00,-5513.00
Node_Her_SeniaVillage,Hernand,village,Senia Village,,-11076.00,671.00,-5232.00
Node_Her_SeniaVillageWaterwheel,Hernand,village,Senia Village Waterwheel,,-11004.49,664.85,-5273.91
Node_Her_SeniaLift,Hernand,poi,Senia Lift,세니아 승강기,-11139.92,672.37,-5267.24
Node_Dem_DemenissCastle,Demeniss,castle,Demeniss Castle,데메니스 성,552.00,139.00,528.00
Node_Dem_RoyalTomb,Demeniss,tomb,Royal Tomb,왕가의 무덤,-7319.00,536.00,-3542.00
Node_Dem_SouthDemenissGate,Demeniss,gate,South Demeniss Gate,,-8601.00,476.00,-4150.00
Node_Dem_WestDemenissGate,Demeniss,gate,West Demeniss Gate,,-9082.00,548.00,-3852.00
Node_Dem_DemenissZoo,Demeniss,poi,Demeniss Zoo,,-8126.00,499.00,-3713.00
Node_Dem_DemenissPolice,Demeniss,poi,Demeniss Police,,-8120.00,528.00,-3400.00
Node_Dem_RoyalSupply_Demeniss,Demeniss,storage,Royal Supply Demeniss,,-8038.00,521.00,-3229.00
Node_Dem_PecusRanch,Demeniss,ranch,Pecus Ranch,페쿠스 목장,-8197.00,507.00,-3655.00
Node_Dem_GrassfieldRanch,Demeniss,ranch,Grassfield Ranch,,-8414.00,483.00,-3856.00
Node_Dem_SouthWagonFactory,Demeniss,workshop,South Wagon Factory,,-8263.00,496.00,-3728.00
Node_Dem_ScorchrockCastle,Demeniss,castle,Scorchrock Castle,스코치락 성,-8717.00,538.00,-4008.00
Node_Dem_TheLaughingMarionette,Demeniss,poi,The Laughing Marionette,웃는 꼭두각시 서커스장,-8212.00,530.00,-3217.00
Node_Dem_DemenissArmory,Demeniss,poi,Demeniss Armory,데메니스 무기고,3328.00,3344.00,3360.00
Node_Dem_DemArmyBase,Demeniss,poi,Dem Army Base,,-6033.00,433.00,-3041.00
Node_Dem_DemArmyCamp,Demeniss,camp,Dem Army Camp,,-6543.00,532.00,-2608.00
Node_Dem_BrokenHouse,Demeniss,house,Broken House,,-6270.00,395.00,-3257.00
Node_Dem_TowerRuins,Demeniss,ruins,Tower Ruins,,-6261.00,451.00,-2868.00
Node_Crim_FortMusket,Crimson,fort,Fort Musket,머스킷 성채,432.00,438.00,640.00
Node_Crim_Musket1Outpost,Crimson,outpost,Musket1Outpost,,-6556.00,540.00,-2196.00
Node_Crim_MusketArtilery_I,Crimson,military,Musket Artilery I,,-6298.00,552.00,-1995.00
Node_Crim_Musket2Outpost,Crimson,outpost,Musket2Outpost,,-6815.00,540.00,-2316.00
Node_Crim_FortMusket_Trainingfield,Crimson,fort,Fort Musket Trainingfield,,-6556.00,540.00,-2196.00
Node_Crim_Wall_Supply,Crimson,storage,Wall Supply,,-6877.00,546.00,-2194.00
Node_Crim_Musket_UltimateWeapon_I,Crimson,military,Musket Ultimate Weapon I,,-6961.00,586.00,-1849.00
Node_Crim_Musket_UltimateWeapon_II,Crimson,military,Musket Ultimate Weapon II,,-6853.00,620.00,-1696.00
Node_Crim_Musket_UltimateWeapon_III,Crimson,military,Musket Ultimate Weapon III,,-6569.00,604.00,-1570.00
Node_Dem_WestCourt,Demeniss,poi,West Court,,-8481.00,525.00,-2930.00
Node_Dem_SouthCourt,Demeniss,poi,South Court,,-8572.00,563.00,-3630.00
Node_Dem_EastCourt,Demeniss,poi,East Court,,-6678.00,473.00,-3067.00
Node_Dem_AzerianManor,Demeniss,manor,Azerian Manor,아제리안 저택,454.00,456.00,458.00
Node_Dem_PurringtonFarm,Demeniss,farm,Purrington Farm,,-8963.00,597.00,-3186.00
Node_Dem_HayscentFarm,Demeniss,farm,Hayscent Farm,헤이센트 농장,-9209.00,592.00,-3309.00
Node_Dem_LacusFarm,Demeniss,farm,Lacus Farm,라쿠스 농장,-8588.00,546.00,-3348.00
Node_Dem_CanalsideFarm,Demeniss,farm,Canalside Farm,캐널사이드 농장,-8473.00,534.00,-3258.00
Node_Dem_RustleleafFarm,Demeniss,farm,Rustleleaf Farm,러슬리프 농장,-8778.00,534.00,-3594.00
Node_Dem_FrameVillage,Demeniss,village,Frame Village,,-8355.00,530.00,-3350.00
Node_Dem_Flame_Knights,Demeniss,poi,Flame Knights,화염의 기사단,-9010.00,608.00,-2966.00
Node_Dem_SungroveManor_Marcella,Demeniss,manor,Sungrove Manor Marcella,,472.00,836.00,478.00
Node_Dem_BlueGoldDyehouse,Demeniss,house,Blue Gold Dyehouse,,-8263.00,511.00,-3029.00
Node_Dem_KingMountainDigSite,Demeniss,poi,King Mountain Dig Site,,-9025.00,647.00,-2210.00
Node_Dem_ClearBellFarm,Demeniss,farm,Clear Bell Farm,,-8101.00,514.00,-2996.00
Node_Dem_GreenfieldFarm,Demeniss,farm,Greenfield Farm,그린필드 농장,-8502.00,522.00,-3038.00
Node_Dem_StonewellFarm,Demeniss,farm,Stonewell Farm,스톤웰 농장,-9237.00,644.00,-2734.00
Node_Dem_CowbellRanch,Demeniss,ranch,Cowbell Ranch,카우벨 목장,-8274.00,524.00,-2878.00
Node_Dem_BrookfieldManor_Elemore,Demeniss,manor,Brookfield Manor Elemore,,486.00,490.00,492.00
Node_Dem_HayroofFarm,Demeniss,farm,Hayroof Farm,헤이루프 농장,-6794.00,545.00,-2509.00
Node_Dem_JoyfairMarketplace,Demeniss,market,Joyfair Marketplace,,-6938.00,479.00,-3023.00
Node_Dem_JoyfairMarketplace_Food_Trader,Demeniss,trade,Joyfair Marketplace Food Trader,,-6850.00,482.00,-2972.00
Node_Dem_SlopeseedFarm,Demeniss,farm,Slopeseed Farm,슬로프시드 농장,-7576.00,510.00,-3339.00
Node_Dem_WhitemillFarm,Demeniss,farm,Whitemill Farm,화이트밀 농장,-7018.00,538.00,-2686.00
Node_Dem_SundellFarm,Demeniss,farm,Sundell Farm,썬델 농장,-7890.00,523.00,-3132.00
Node_Dem_SunharvestFarm,Demeniss,farm,Sunharvest Farm,썬하베스트 농장,-7334.00,495.00,-2986.00
Node_Dem_SeedrowFarm,Demeniss,farm,Seedrow Farm,시드로우 농장,-7368.00,517.00,-2784.00
Node_Dem_CattlefoldRanch,Demeniss,ranch,Cattlefold Ranch,캐틀폴드 목장,-7882.00,522.00,-2956.00
Node_Dem_GreenpondFarm,Demeniss,farm,Greenpond Farm,그린폰드 농장,-7260.00,542.00,-2628.00
Node_Dem_SunsetDyehouse,Demeniss,house,Sunset Dyehouse,선셋 염색 공방,-7543.00,512.00,-3119.00
Node_Dem_StronghoofHorseGearMaker,Demeniss,poi,Stronghoof Horse Gear Maker,,-7592.00,518.00,-2809.00
Node_Dem_VinewoodWinery,Demeniss,poi,Vinewood Winery,바인우드 양조장,-7134.00,472.00,-3109.00
Node_Dem_IronbarrelWeaponFactory,Demeniss,workshop,Ironbarrel Weapon Factory,,-6978.00,457.00,-3363.00
Node_Dem_BulwarkWeaponFactory,Demeniss,workshop,Bulwark Weapon Factory,,-6772.00,454.00,-3316.00
Node_Dem_BulwarkWeaponFactory_Mineral_Trader,Demeniss,mine,Bulwark Weapon Factory Mineral Trader,,-6777.00,454.00,-3349.00
Node_Dem_StronghelmFactory,Demeniss,workshop,Stronghelm Factory,,-6633.00,450.00,-3282.00
Node_Dem_WindmereManor_Byron,Demeniss,manor,Windmere Manor Byron,,4416.00,672.00,676.00
Node_Dem_HiddenEstate,Demeniss,monster_lair,Hidden Estate,,-8441.00,544.00,-2218.00
Node_Dem_BurnhandQuarry,Demeniss,poi,Burnhand Quarry,번핸드 채석장,-8707.00,513.00,-2490.00
Node_Dem_SpringdaleFarm,Demeniss,farm,Springdale Farm,스프링데일 농장,-7915.00,545.00,-2391.00
Node_Dem_GoldenHoofHorseRace,Demeniss,monster_lair,Golden Hoof Horse Race,,-7205.00,547.00,-2274.00
Node_Dem_HoneywoodBeeFarm,Demeniss,farm,Honeywood Bee Farm,,-8266.00,547.00,-2449.00
Node_Dem_RockedgeMill,Demeniss,landmark,Rockedge Mill,,-8154.00,561.00,-2246.00
Node_Dem_DemenissHorseMarket,Demeniss,market,Demeniss Horse Market,,-7615.00,527.00,-2605.00
Node_Dem_ReventineDigSite,Demeniss,poi,Reventine Dig Site,,-8901.00,603.00,-2248.00
Node_Dem_WheelsmithWagonFactory,Demeniss,workshop,Wheelsmith Wagon Factory,,-8236.00,518.00,-2750.00
Node_Dem_SwiftStables,Demeniss,poi,Swift Stables,,-7438.00,537.00,-2530.00
Node_Dem_Moonlake,Demeniss,water,Moonlake,,-8621.00,542.00,-2117.00
Node_Dem_HiddenGroveRanch,Demeniss,ranch,Hidden Grove Ranch,히든그로브 목장,-7898.00,528.00,-2680.00
Node_Dem_HiddenGroveRanch_Timber_Trader,Demeniss,ranch,Hidden Grove Ranch Timber Trader,,-7891.00,530.00,-2690.00
Node_Dem_NorthOutpost,Demeniss,outpost,North Outpost,,-7635.00,542.00,-2319.00
Node_Dem_ThornRoseFort,Demeniss,fort,Thorn Rose Fort,,1704.00,1712.00,1848.00
Node_Dem_ThornRoseGuardPost,Demeniss,poi,Thorn Rose Guard Post,,-8748.00,508.00,-5444.00
Node_Dem_ThornRoseSouthGate,Demeniss,gate,Thorn Rose South Gate,,-8492.55,537.60,-6013.43
Node_Dem_ThornRoseFoodStorage,Demeniss,storage,Thorn Rose Food Storage,,-8509.00,543.00,-5613.00
Node_Dem_ThornRoseOutpost,Demeniss,outpost,Thorn Rose Outpost,,-8592.00,552.00,-5714.00
Node_Dem_ThornRoseNorthGate,Demeniss,gate,Thorn Rose North Gate,,-8617.00,496.00,-5375.00
Node_Dem_ThornRoseRiversidePost,Demeniss,water,Thorn Rose Riverside Post,,-8459.00,458.00,-5255.00
Node_Dem_MoonRiverExpeditionCamp,Demeniss,camp,Moon River Expedition Camp,,-8318.00,449.00,-5290.00
Node_Dem_NightExpeditionCamp,Demeniss,camp,Night Expedition Camp,,-8069.00,450.00,-5498.00
Node_Dem_ThornRoseSuppliesStorageCentral,Demeniss,storage,Thorn Rose Supplies Storage Central,,-8325.00,568.00,-5706.00
Node_Dem_ThornRoseSuppliesStorageNorth,Demeniss,storage,Thorn Rose Supplies Storage North,,-8539.00,532.00,-5432.00
Node_Dem_IronStronghold,Demeniss,stronghold,Iron Stronghold,,1648.00,1656.00,1672.00
Node_Dem_TombstoneWorkshop,Demeniss,workshop,Tombstone Workshop,,-8225.00,494.00,-4539.00
Node_Dem_IronwoodPottery,Demeniss,poi,Ironwood Pottery,아이언우드 토기 공방,-8361.00,451.00,-4724.00
Node_Dem_IronwoodFarm,Demeniss,farm,Ironwood Farm,아이언우드 농장,-8573.00,465.00,-4747.00
Node_Dem_IronwoodFarmhouse,Demeniss,farm,Ironwood Farmhouse,아이언우드 농가,-8355.00,459.00,-4805.00
Node_Dem_BloodsteelCamp,Demeniss,camp,Bloodsteel Camp,블러드스틸 캠프,-8921.00,627.00,-5946.00
Node_Dem_BloodsteelNorthGate,Demeniss,gate,Bloodsteel North Gate,블러드스틸 북문,-9146.00,565.00,-5707.00
Node_Dem_BloodsteelSouthGate,Demeniss,gate,Bloodsteel South Gate,블러드스틸 남문,-8910.00,573.00,-6088.00
Node_Dem_TarivVillage,Demeniss,village,Tariv Village,,-8208.00,556.00,-1655.00
Node_Dem_HexeSanctuary,Demeniss,poi,Hexe Sanctuary,헥세 성역,1160.00,1064.00,1088.00
Node_Dem_HollowHaven,Demeniss,landmark,Hollow Haven,공허한 안식처,-7940.00,558.00,-1643.00
Node_Dem_UrnGrave,Demeniss,tomb,Urn Grave,,-7899.00,605.00,-1465.00
