source,type_id,name,x,y,z
actionpointinfo,0x816F,LevelActionPoint_Sector_m03_m05_41_Action_Sit000,-3050.13,443.55,-4622.78
actionpointinfo,0x8170,LevelActionPoint_Sector_m03_m05_42_Action_Sit000,-3044.43,443.45,-4619.65
actionpointinfo,0x8171,LevelActionPoint_Sector_m03_m05_43_Action_Sit000,-3045.73,443.50,-4621.12
actionpointinfo,0x8172,LevelActionPoint_Sector_m03_m05_44_Action_Sit000,-3043.33,443.50,-4618.26
actionpointinfo,0x8173,LevelActionPoint_Sector_m03_m05_45_Action_Sit000,-3046.75,462.79,-4520.57
actionpointinfo,0x8174,LevelActionPoint_Sector_m03_m05_46_Action_Sit000,-2992.85,471.19,-4497.99
actionpointinfo,0x8175,LevelActionPoint_Sector_m03_m05_47_Action_Sit000,-3068.71,457.25,-4517.56
actionpointinfo,0x8176,LevelActionPoint_Sector_m03_m05_48_Action_Sit000,-3048.83,462.79,-4554.96
actionpointinfo,0x8177,LevelActionPoint_Sector_m03_m05_49_Action_Sit000,-2994.00,471.18,-4494.25
actionpointinfo,0x8178,LevelActionPoint_Sector_m03_m05_50_Action_Sit000,-3045.42,462.79,-4519.64
actionpointinfo,0x8179,LevelActionPoint_Sector_m03_m05_51_Action_Sit000,-3057.87,462.80,-4517.94
actionpointinfo,0x817A,LevelActionPoint_Sector_m03_m05_52_Action_Sit000,-2993.17,471.19,-4496.35
actionpointinfo,0x817B,LevelActionPoint_Sector_m03_m05_53_Action_Sit000,-3020.21,471.20,-4533.59
actionpointinfo,0x817C,LevelActionPoint_Sector_m03_m05_54_Action_Sit000,-3052.88,462.80,-4515.04
actionpointinfo,0x817D,LevelActionPoint_Sector_m03_m05_55_Action_Sit000,-3011.94,471.21,-4533.24
actionpointinfo,0x817E,LevelActionPoint_Sector_m03_m05_56_Action_Sit000,-3020.91,471.27,-4531.69
actionpointinfo,0x4280,LevelActionPoint_Sector_m03_m05_57_Action_Sit000,-3044.75,443.68,-4638.51
actionpointinfo,0x59D7,LevelActionPoint_Sector_m03_m05_58_Action_Sit000,-3067.74,443.66,-4640.73
actionpointinfo,0x6E27,LevelActionPoint_Sector_m03_m05_59_Action_Sit000,-3056.07,444.04,-4641.78
actionpointinfo,0x7159,LevelActionPoint_Sector_m03_m05_60_Action_Sit000,-3059.05,444.45,-4642.09
actionpointinfo,0x7193,LevelActionPoint_Sector_m03_m05_61_Action_Sit000,-3046.76,443.77,-4643.41
actionpointinfo,0x719C,LevelActionPoint_Sector_m03_m05_62_Action_Sit000,-3046.80,443.61,-4639.15
actionpointinfo,0x719F,LevelActionPoint_Sector_m03_m05_63_Action_Sit000,-3057.66,444.25,-4641.48
actionpointinfo,0x71A1,LevelActionPoint_Sector_m03_m05_64_Action_Sit000,-3070.33,443.41,-4638.33
actionpointinfo,0x83B1,LevelActionPoint_Sector_m03_m05_65_Action_Sit000,-3040.28,443.75,-4636.71
actionpointinfo,0x83C0,LevelActionPoint_Sector_m03_m05_66_Action_Sit000,-3068.98,443.55,-4639.47
actionpointinfo,0x83CC,LevelActionPoint_Sector_m03_m05_67_Action_Sit000,-3047.63,443.71,-4642.01
actionpointinfo,0x83EA,LevelActionPoint_Sector_m03_m05_68_Action_Sit000,-3071.84,473.11,-4612.29
actionpointinfo,0x907C,LevelActionPoint_Sector_m03_m05_69_Action_Sit000,-3056.43,444.18,-4644.02
actionpointinfo,0x5FF2,LevelActionPoint_Sector_m04_00_0_Action_Sit045,-3631.22,697.00,448.16
actionpointinfo,0x5FF3,LevelActionPoint_Sector_m04_00_1_Action_Sit045,-3512.56,689.42,758.45
actionpointinfo,0x817F,LevelActionPoint_Sector_m04_00_2_Action_Sit000,-3519.86,688.88,743.53
actionpointinfo,0x8180,LevelActionPoint_Sector_m04_00_3_Action_Sit000,-3523.08,689.29,759.06
actionpointinfo,0x8181,LevelActionPoint_Sector_m04_00_4_Action_Sit000,-3521.51,689.32,759.93
actionpointinfo,0x8182,LevelActionPoint_Sector_m04_00_5_Action_Lean,-3623.65,698.95,449.39
actionpointinfo,0x8183,LevelActionPoint_Sector_m04_00_6_Action_Sit000,-3522.16,689.29,753.84
actionpointinfo,0x8184,LevelActionPoint_Sector_m04_00_7_Action_Sit000,-3521.41,688.92,745.15
actionpointinfo,0x8185,LevelActionPoint_Sector_m04_00_8_Action_Sit000,-3609.31,696.77,422.28
actionpointinfo,0x8186,LevelActionPoint_Sector_m04_00_9_Action_Sit000,-3551.72,688.28,750.55
actionpointinfo,0x8187,LevelActionPoint_Sector_m04_00_10_Action_Sit000,-3546.50,688.48,753.55
actionpointinfo,0x8188,LevelActionPoint_Sector_m04_00_11_Action_Sit000,-3638.75,696.58,457.74
actionpointinfo,0x8189,LevelActionPoint_Sector_m04_00_12_Action_Sit000,-3626.82,696.78,435.28
actionpointinfo,0x818A,LevelActionPoint_Sector_m04_00_13_Action_Sit000,-3640.07,696.65,459.12
actionpointinfo,0x818B,LevelActionPoint_Sector_m04_00_14_Action_Lean,-3627.28,696.76,398.70
actionpointinfo,0x818C,LevelActionPoint_Sector_m04_00_15_Action_Lean,-3661.43,696.75,434.62
actionpointinfo,0x818D,LevelActionPoint_Sector_m04_00_16_Action_Sit000,-3549.05,688.29,749.30
actionpointinfo,0x818E,LevelActionPoint_Sector_m04_00_17_Action_Sit000,-3550.61,688.33,749.40
actionpointinfo,0x818F,LevelActionPoint_Sector_m04_00_18_Action_Sit000,-3520.86,689.31,752.35
actionpointinfo,0x8190,LevelActionPoint_Sector_m04_00_19_Action_Sit000,-3612.73,696.78,423.87
actionpointinfo,0x8191,LevelActionPoint_Sector_m04_00_20_Action_Sit000,-3625.90,696.81,433.91
actionpointinfo,0x8192,LevelActionPoint_Sector_m04_00_21_Action_Sit000,-3603.74,701.91,401.10
actionpointinfo,0x8193,LevelActionPoint_Sector_m04_00_22_Action_Sit000,-3627.40,696.73,436.53
actionpointinfo,0x8194,LevelActionPoint_Sector_m04_00_23_Action_Lean,-3662.52,700.09,452.69
actionpointinfo,0x8195,LevelActionPoint_Sector_m04_00_24_Action_Sit000,-3654.53,696.79,454.03
actionpointinfo,0x8196,LevelActionPoint_Sector_m04_00_25_Action_Sit000,-3654.88,696.78,455.49
actionpointinfo,0x8197,LevelActionPoint_Sector_m04_00_26_Action_Sit000,-3610.73,696.77,422.62
actionpointinfo,0x8198,LevelActionPoint_Sector_m04_00_27_Action_Lean,-3657.19,696.73,425.80
actionpointinfo,0x8199,LevelActionPoint_Sector_m04_00_28_Action_Sit000,-3647.04,696.59,423.14
actionpointinfo,0x819A,LevelActionPoint_Sector_m04_00_29_Action_Sit000,-3645.68,696.63,423.93
actionpointinfo,0x819B,LevelActionPoint_Sector_m04_00_30_Action_Sit045,-3635.32,696.84,415.49
actionpointinfo,0x819C,LevelActionPoint_Sector_m04_00_31_Action_Sit045,-3635.15,696.83,413.58
actionpointinfo,0x819D,LevelActionPoint_Sector_m04_00_32_Action_Sit000,-3629.50,696.81,408.61
actionpointinfo,0x819E,LevelActionPoint_Sector_m04_00_33_Action_Sit000,-3605.15,701.91,399.96
actionpointinfo,0x819F,LevelActionPoint_Sector_m04_00_34_Action_Sit045,-3633.28,696.74,412.41
actionpointinfo,0x81A0,LevelActionPoint_Sector_m04_00_35_Action_Sit045,-3632.53,696.74,411.77
actionpointinfo,0x81A1,LevelActionPoint_Sector_m04_00_36_Action_Lean,-3610.13,696.74,403.40
actionpointinfo,0x81A2,LevelActionPoint_Sector_m04_00_37_Action_Lean,-3608.73,696.81,405.09
actionpointinfo,0x81A3,LevelActionPoint_Sector_m04_00_38_Action_Lean,-3624.74,698.95,450.86
actionpointinfo,0x81A4,LevelActionPoint_Sector_m04_00_39_Action_Lean,-3622.58,698.95,447.92
actionpointinfo,0x81A5,LevelActionPoint_Sector_m04_00_40_Action_Lean,-3640.21,696.61,446.41
actionpointinfo,0x5897,LevelActionPoint_Sector_m04_02_0_Action_Sit045,-3962.09,643.50,2821.14
actionpointinfo,0x58D9,LevelActionPoint_Sector_m04_02_1_Action_Sit045,-3962.58,643.50,2824.19
actionpointinfo,0x596F,LevelActionPoint_Sector_m04_02_2_Action_Sit000,-3941.46,642.02,2814.35
actionpointinfo,0x5971,LevelActionPoint_Sector_m04_02_3_Action_Sit045,-3943.92,643.50,2830.40
actionpointinfo,0x5981,LevelActionPoint_Sector_m04_02_4_Action_Sit045,-3954.79,643.55,2817.37
actionpointinfo,0x599F,LevelActionPoint_Sector_m04_02_5_Action_Sit045,-3946.74,643.50,2833.34
actionpointinfo,0x59A0,LevelActionPoint_Sector_m04_02_6_Action_Sit045,-3934.90,642.02,2807.98
actionpointinfo,0x59DB,LevelActionPoint_Sector_m04_02_7_Action_Sit000,-3961.22,643.50,2824.07
actionpointinfo,0x59DC,LevelActionPoint_Sector_m04_02_8_Action_Sit045,-3953.41,643.55,2815.90
actionpointinfo,0x4255,LevelActionPoint_Sector_m04_03_0_Action_Sit045,-3918.07,657.59,3407.64
actionpointinfo,0x4257,LevelActionPoint_Sector_m04_03_1_Action_Sit045,-3921.53,657.64,3411.13
actionpointinfo,0x4258,LevelActionPoint_Sector_m04_03_2_Action_Sit045,-3909.93,657.63,3407.02
actionpointinfo,0x4259,LevelActionPoint_Sector_m04_03_3_Action_Sit045,-3909.21,657.59,3407.30
actionpointinfo,0x4337,LevelActionPoint_Sector_m04_03_4_Action_Sit045,-3911.93,653.43,3407.30
actionpointinfo,0x4338,LevelActionPoint_Sector_m04_03_5_Action_Sit045,-3916.22,653.43,3406.07
actionpointinfo,0x4339,LevelActionPoint_Sector_m04_03_6_Action_Sit045,-3914.47,653.47,3413.92
actionpointinfo,0x433A,LevelActionPoint_Sector_m04_03_7_Action_Sit045,-3916.10,653.47,3413.63
actionpointinfo,0x433B,LevelActionPoint_Sector_m04_03_8_Action_Sit045,-3919.16,653.47,3412.62
actionpointinfo,0x433C,LevelActionPoint_Sector_m04_03_9_Action_Sit045,-3916.48,653.43,3406.92
actionpointinfo,0x4B93,LevelActionPoint_Sector_m04_03_10_OperationAction_Check_Low,-3592.74,653.03,3557.75
actionpointinfo,0x4B94,LevelActionPoint_Sector_m04_03_11_Action_Sit000,-3616.79,652.91,3557.29
actionpointinfo,0x4B95,LevelActionPoint_Sector_m04_03_12_OperationAction_Check_Low,-3627.32,653.48,3548.82
actionpointinfo,0x4B96,LevelActionPoint_Sector_m04_03_13_OperationAction_Book,-3625.31,653.43,3545.25
actionpointinfo,0x4B97,LevelActionPoint_Sector_m04_03_14_OperationAction_Check_Low,-3593.43,652.90,3550.77
actionpointinfo,0x4B98,LevelActionPoint_Sector_m04_03_15_OperationAction_Check_Low,-3594.30,652.93,3552.50
actionpointinfo,0x4B99,LevelActionPoint_Sector_m04_03_16_Action_Sit000,-3617.69,652.91,3554.63
actionpointinfo,0x4B9A,LevelActionPoint_Sector_m04_03_17_Action_Sit000,-3594.16,652.89,3560.55
actionpointinfo,0x4B9B,LevelActionPoint_Sector_m04_03_18_Action_Sit000,-3591.78,652.94,3544.58
actionpointinfo,0x4B9C,LevelActionPoint_Sector_m04_03_19_OperationAction_Check_Low,-3588.89,653.46,3548.68
actionpointinfo,0x4B9D,LevelActionPoint_Sector_m04_03_20_OperationAction_Book,-3590.32,653.46,3548.21
actionpointinfo,0x4B9E,LevelActionPoint_Sector_m04_03_21_OperationAction_Check_Low,-3624.94,653.43,3543.85
actionpointinfo,0x4B9F,LevelActionPoint_Sector_m04_03_22_OperationAction_Check_Low,-3626.06,653.48,3550.31
actionpointinfo,0x4BA0,LevelActionPoint_Sector_m04_03_23_Action_Sit000,-3616.97,652.91,3556.26
actionpointinfo,0x4BA1,LevelActionPoint_Sector_m04_03_24_Action_Sit000,-3595.68,652.93,3561.72
actionpointinfo,0x4BA2,LevelActionPoint_Sector_m04_03_25_Action_Sit000,-3596.16,652.93,3562.57
actionpointinfo,0x4BA3,LevelActionPoint_Sector_m04_03_26_OperationAction_Book,-3590.01,653.43,3552.86
actionpointinfo,0x4BA4,LevelActionPoint_Sector_m04_03_27_Action_Sit000,-3595.03,652.93,3561.00
actionpointinfo,0x4BA5,LevelActionPoint_Sector_m04_03_28_Action_Sit000,-3618.23,652.91,3553.88
actionpointinfo,0x4BA6,LevelActionPoint_Sector_m04_03_29_Action_Sit000,-3591.29,652.94,3543.74
actionpointinfo,0x5B3A,LevelActionPoint_Sector_m04_03_30_Action_Sit045,-3786.84,685.40,3362.05
actionpointinfo,0x5B3B,LevelActionPoint_Sector_m04_03_31_Action_Sit045,-3726.56,702.34,3440.43
actionpointinfo,0x6580,LevelActionPoint_Sector_m04_03_32_Action_Noble_Sit045,-3710.82,712.88,3382.73
actionpointinfo,0x5B3D,LevelActionPoint_Sector_m04_03_33_Action_Sit045,-3747.85,699.41,3375.15
actionpointinfo,0x5B3E,LevelActionPoint_Sector_m04_03_34_Action_Sit045,-3754.67,699.41,3377.32
actionpointinfo,0x5B3F,LevelActionPoint_Sector_m04_03_35_Action_Sit045,-3788.26,685.41,3362.58
actionpointinfo,0x6581,LevelActionPoint_Sector_m04_03_36_Action_Noble_Sit045,-3710.58,712.87,3371.49
actionpointinfo,0x5B41,LevelActionPoint_Sector_m04_03_37_Action_Sit045,-3893.84,653.41,3401.17
actionpointinfo,0x5B42,LevelActionPoint_Sector_m04_03_38_Action_Sit045,-3711.25,702.72,3434.51
actionpointinfo,0x5B43,LevelActionPoint_Sector_m04_03_39_Action_Sit045,-3755.44,698.97,3452.77
actionpointinfo,0x5B44,LevelActionPoint_Sector_m04_03_40_Action_Sit045,-3749.35,699.41,3375.58
actionpointinfo,0x6582,LevelActionPoint_Sector_m04_03_41_Action_Noble_Sit045,-3707.70,706.82,3442.26
actionpointinfo,0x5B46,LevelActionPoint_Sector_m04_03_42_Action_Sit045,-3827.96,656.24,3396.00
actionpointinfo,0x5B47,LevelActionPoint_Sector_m04_03_43_Action_Sit045,-3812.95,672.83,3403.42
actionpointinfo,0x5B48,LevelActionPoint_Sector_m04_03_44_Action_Sit045,-3781.61,685.45,3365.09
actionpointinfo,0x6583,LevelActionPoint_Sector_m04_03_45_Action_Noble_Sit045,-3715.24,712.88,3391.95
actionpointinfo,0x5B4A,LevelActionPoint_Sector_m04_03_46_Action_Sit045,-3782.06,685.41,3363.58
actionpointinfo,0x5B4B,LevelActionPoint_Sector_m04_03_47_Action_Sit045,-3812.87,672.83,3401.86
actionpointinfo,0x5B4C,LevelActionPoint_Sector_m04_03_48_Action_Sit045,-3872.30,649.63,3376.77
actionpointinfo,0x6584,LevelActionPoint_Sector_m04_03_49_Action_Noble_Sit045,-3706.84,702.99,3444.22
actionpointinfo,0x6585,LevelActionPoint_Sector_m04_03_50_Action_Noble_Sit045,-3716.15,712.88,3392.23
actionpointinfo,0x5B4F,LevelActionPoint_Sector_m04_03_51_Action_Sit045,-3825.09,672.84,3404.80
actionpointinfo,0x5B50,LevelActionPoint_Sector_m04_03_52_Action_Sit045,-3753.17,699.41,3376.89
actionpointinfo,0x5B51,LevelActionPoint_Sector_m04_03_53_Action_Sit045,-3893.92,649.66,3354.67
actionpointinfo,0x5B52,LevelActionPoint_Sector_m04_03_54_Action_Sit045,-3843.61,661.60,3330.34
actionpointinfo,0x5B53,LevelActionPoint_Sector_m04_03_55_Action_Sit045,-3837.80,656.21,3402.29
actionpointinfo,0x5B54,LevelActionPoint_Sector_m04_03_56_Action_Sit045,-3824.13,672.84,3406.03
actionpointinfo,0x5B55,LevelActionPoint_Sector_m04_03_57_Action_Sit045,-3836.49,656.21,3403.15
actionpointinfo,0x5B56,LevelActionPoint_Sector_m04_03_58_Action_Sit045,-3827.79,656.24,3397.56
actionpointinfo,0x6586,LevelActionPoint_Sector_m04_03_59_Action_Noble_Sit045,-3720.70,712.92,3377.25
actionpointinfo,0x6587,LevelActionPoint_Sector_m04_03_60_Action_Noble_Sit045,-3721.13,712.92,3378.44
actionpointinfo,0x5B59,LevelActionPoint_Sector_m04_03_61_Action_Sit045,-3762.19,699.16,3475.28
actionpointinfo,0x5B5A,LevelActionPoint_Sector_m04_03_62_Action_Sit045,-4128.32,604.86,3322.94
actionpointinfo,0x5C74,LevelActionPoint_Sector_m04_03_63_Action_Noble_Sit045,-3721.55,712.92,3377.57
actionpointinfo,0x5B5C,LevelActionPoint_Sector_m04_03_64_Action_Sit045,-3753.58,699.13,3450.01
actionpointinfo,0x6589,LevelActionPoint_Sector_m04_03_65_Action_Noble_Sit045,-3708.07,712.87,3370.77
actionpointinfo,0x5B5E,LevelActionPoint_Sector_m04_03_66_Action_Sit045,-3901.65,653.41,3403.29
actionpointinfo,0x5B5F,LevelActionPoint_Sector_m04_03_67_Action_Sit045,-3754.93,698.97,3451.81
actionpointinfo,0x5B60,LevelActionPoint_Sector_m04_03_68_Action_Sit045,-4125.44,604.85,3324.43
actionpointinfo,0x5B61,LevelActionPoint_Sector_m04_03_69_Action_Sit045,-3919.41,645.49,3373.71
actionpointinfo,0x5B62,LevelActionPoint_Sector_m04_03_70_Action_Sit045,-3874.01,649.63,3373.46
actionpointinfo,0x5B63,LevelActionPoint_Sector_m04_03_71_Action_Sit045,-3920.97,645.49,3373.64
actionpointinfo,0x5B64,LevelActionPoint_Sector_m04_03_72_Action_Sit045,-3893.44,649.66,3353.18
actionpointinfo,0x5B65,LevelActionPoint_Sector_m04_03_73_Action_Sit045,-3847.81,661.60,3332.23
actionpointinfo,0x5B66,LevelActionPoint_Sector_m04_03_74_Action_Sit045,-3874.57,649.63,3372.18
actionpointinfo,0x5B67,LevelActionPoint_Sector_m04_03_75_Action_Sit045,-3871.61,649.63,3378.18
actionpointinfo,0x5B68,LevelActionPoint_Sector_m04_03_76_Action_Sit045,-3846.38,661.60,3331.59
actionpointinfo,0x5B69,LevelActionPoint_Sector_m04_03_77_Action_Sit045,-3842.18,661.60,3329.70
actionpointinfo,0x5B6A,LevelActionPoint_Sector_m04_03_78_Action_Sit045,-3900.14,653.41,3403.69
actionpointinfo,0x5B6B,LevelActionPoint_Sector_m04_03_79_Action_Sit045,-3895.38,653.41,3400.92
actionpointinfo,0x5B6C,LevelActionPoint_Sector_m04_03_80_Action_Sit045,-3897.25,653.85,3409.56
actionpointinfo,0x5FF4,LevelActionPoint_Sector_m04_03_81_Action_Sit045,-3758.03,699.67,3464.60
actionpointinfo,0x5FF5,LevelActionPoint_Sector_m04_03_82_Action_Sit045,-3755.58,699.63,3464.35
actionpointinfo,0x5B38,LevelActionPoint_Sector_m04_03_83_Action_Sit000,-3623.03,652.94,3554.18
actionpointinfo,0x5B39,LevelActionPoint_Sector_m04_03_84_Action_Sit000,-3622.01,652.93,3554.35
actionpointinfo,0x5BCE,LevelActionPoint_Sector_m04_03_85_Action_Sit000,-3616.56,653.05,3548.86
actionpointinfo,0x5D7B,LevelActionPoint_Sector_m04_03_86_Action_Sit000,-3622.92,652.99,3540.66
actionpointinfo,0x5D7C,LevelActionPoint_Sector_m04_03_87_Action_Sit000,-3624.04,652.98,3540.86
actionpointinfo,0x679C,LevelActionPoint_Sector_m04_03_88_Action_Sit000,-3620.86,653.83,3534.73
actionpointinfo,0x679D,LevelActionPoint_Sector_m04_03_89_Action_Sit000,-3603.41,653.80,3534.56
actionpointinfo,0x679E,LevelActionPoint_Sector_m04_03_90_Action_Sit000,-3604.61,653.80,3534.61
actionpointinfo,0x6A0A,LevelActionPoint_Sector_m04_03_91_Action_Sit045,-3949.80,651.56,3407.09
actionpointinfo,0x6A0B,LevelActionPoint_Sector_m04_03_92_Action_Sit045,-3914.37,653.43,3406.78
actionpointinfo,0x6A0E,LevelActionPoint_Sector_m04_03_93_Action_Sit045,-3926.96,659.67,3402.93
actionpointinfo,0x6A0F,LevelActionPoint_Sector_m04_03_94_Action_Sit045,-3841.39,662.38,3415.48
actionpointinfo,0x6A10,LevelActionPoint_Sector_m04_03_95_Action_Sit045,-3845.76,662.38,3415.58
actionpointinfo,0x6D84,LevelActionPoint_Sector_m04_03_96_Action_Noble_Sit045,-3720.38,712.92,3377.97
actionpointinfo,0x6A12,LevelActionPoint_Sector_m04_03_97_Action_Sit045,-3905.42,650.87,3382.56
actionpointinfo,0x6A13,LevelActionPoint_Sector_m04_03_98_Action_Noble_Sit045,-3914.95,646.27,3380.99
actionpointinfo,0x6A50,LevelActionPoint_Sector_m04_03_99_Action_Noble_Sit045,-3913.99,646.27,3381.24
actionpointinfo,0x6A51,LevelActionPoint_Sector_m04_03_100_Action_Sit045,-3918.44,653.47,3410.29
actionpointinfo,0x6A52,LevelActionPoint_Sector_m04_03_101_Action_Noble_Sit045,-3881.67,653.55,3337.67
actionpointinfo,0x6A53,LevelActionPoint_Sector_m04_03_102_Action_Noble_Sit045,-3882.43,653.55,3338.13
actionpointinfo,0x6A54,LevelActionPoint_Sector_m04_03_103_Action_Noble_Sit045,-3881.92,653.55,3338.94
actionpointinfo,0x6A55,LevelActionPoint_Sector_m04_03_104_Action_Noble_Sit045,-3881.17,653.55,3338.19
actionpointinfo,0x6A57,LevelActionPoint_Sector_m04_03_105_Action_Noble_Sit045,-3871.64,653.51,3337.85
actionpointinfo,0x6A58,LevelActionPoint_Sector_m04_03_106_Action_Noble_Sit045,-3873.27,653.51,3344.97
actionpointinfo,0x6A59,LevelActionPoint_Sector_m04_03_107_Action_Noble_Sit045,-3880.00,653.54,3346.72
actionpointinfo,0x6D53,LevelActionPoint_Sector_m04_03_108_Action_Noble_Sit045,-3873.06,658.47,3344.52
actionpointinfo,0x6D54,LevelActionPoint_Sector_m04_03_109_Action_Noble_Sit045,-3874.17,658.47,3341.96
actionpointinfo,0x6D55,LevelActionPoint_Sector_m04_03_110_Action_Noble_Sit045,-3862.89,658.47,3336.83
actionpointinfo,0x6D56,LevelActionPoint_Sector_m04_03_111_Action_Noble_Sit045,-3866.58,652.64,3352.13
actionpointinfo,0x6D57,LevelActionPoint_Sector_m04_03_112_Action_Noble_Sit045,-3863.53,652.61,3359.45
actionpointinfo,0x6D58,LevelActionPoint_Sector_m04_03_113_Action_Noble_Sit045,-3846.41,652.61,3377.07
actionpointinfo,0x6D59,LevelActionPoint_Sector_m04_03_114_Action_Noble_Sit045,-3855.21,652.61,3381.07
actionpointinfo,0x6D5A,LevelActionPoint_Sector_m04_03_115_Action_Noble_Sit045,-3848.32,652.67,3383.25
actionpointinfo,0x6D5B,LevelActionPoint_Sector_m04_03_116_Action_Noble_Sit045,-3852.10,652.61,3382.26
actionpointinfo,0x6D5C,LevelActionPoint_Sector_m04_03_117_Action_Noble_Sit045,-3847.08,652.67,3386.07
actionpointinfo,0x6D5D,LevelActionPoint_Sector_m04_03_118_Action_Noble_Sit045,-3848.58,652.67,3386.74
